BLOSUM 1,BLOSUM 2,BLOSUM 3,BLOSUM 4,BLOSUM 5,BLOSUM 6,BLOSUM 7,BLOSUM 8,BLOSUM 9,BLOSUM 10,BLOSUM 11,BLOSUM 12,BLOSUM 13,BLOSUM 14,BLOSUM 15,BLOSUM 16,BLOSUM 17,BLOSUM 18,BLOSUM 19,BLOSUM 20,BLOSUM 21,BLOSUM 22,BLOSUM 23,BLOSUM 24,BLOSUM 25,BLOSUM 26,BLOSUM 27,BLOSUM 28,BLOSUM 29,BLOSUM 30,BLOSUM 31,BLOSUM 32,BLOSUM 33,BLOSUM 34,BLOSUM 35,BLOSUM 36,BLOSUM 37,BLOSUM 38,BLOSUM 39,BLOSUM 40,BLOSUM 41,BLOSUM 42,BLOSUM 43,BLOSUM 44,BLOSUM 45,BLOSUM 46,BLOSUM 47,BLOSUM 48,BLOSUM 49,BLOSUM 50,BLOSUM 51,BLOSUM 52,BLOSUM 53,BLOSUM 54,BLOSUM 55,BLOSUM 56,BLOSUM 57,BLOSUM 58,BLOSUM 59,BLOSUM 60,BLOSUM 61,BLOSUM 62,BLOSUM 63,BLOSUM 64,BLOSUM 65,BLOSUM 66,BLOSUM 67,BLOSUM 68,BLOSUM 69,BLOSUM 70,BLOSUM 71,BLOSUM 72,BLOSUM 73,BLOSUM 74,BLOSUM 75,PAM 1,PAM 2,PAM 3,PAM 4,PAM 5,PAM 6,PAM 7,PAM 8,PAM 9,PAM 10,PAM 11,PAM 12,PAM 13,PAM 14,PAM 15,PAM 16,PAM 17,PAM 18,PAM 19,PAM 20,PAM 21,PAM 22,PAM 23,PAM 24,PAM 25,PAM 26,PAM 27,PAM 28,PAM 29,PAM 30,PAM 31,PAM 32,PAM 33,PAM 34,PAM 35,PAM 36,PAM 37,PAM 38,PAM 39,PAM 40,PAM 41,PAM 42,PAM 43,PAM 44,PAM 45,PAM 46,PAM 47,PAM 48,PAM 49,PAM 50,PAM 51,PAM 52,PAM 53,PAM 54,PAM 55,PAM 56,PAM 57,PAM 58,PAM 59,PAM 60,PAM 61,PAM 62,PAM 63,PAM 64,PAM 65,PAM 66,PAM 67,PAM 68,PAM 69,PAM 70,PAM 71,PAM 72,PAM 73,PAM 74,PAM 75,Class
-0.000641531,-0.001254194,-0.001243808,-0.003714551,0.00336888,-0.007163096,-0.003567152,0.006336933,0.003540103,0.003302095,0.019791468,-0.002446603,0.007250605,0.004984047,0.002337822,-0.00692471,0.000155802,-0.006055352,-0.010852474,-0.004244772,0.010962085,-0.017009467,0.006869261,0.003928164,-0.009210407,-8.88E-05,0.018676774,-0.015641201,0.016530811,0.001132447,-0.017680029,0.00079003,0.012572386,-0.01552198,-0.007564177,-0.007639429,0.01530573,0.009392649,-0.012011232,0.005978162,-0.002687346,0.00280477,-0.020266167,-0.016965433,0.002186542,-0.003913067,-0.019741675,-0.00730536,-0.015418728,-0.006054393,-0.011158076,0.012910816,0.003512998,-0.001465103,-0.012933961,0.01420119,0.008674184,-0.000699764,0.018578873,-0.015735354,0.022839993,0.001071372,-0.003932156,-0.021313558,0.018277743,0.025517359,-0.020225464,0.006656022,0.02247327,-0.000789875,0.012797368,0.002052587,0.004106448,-0.01894967,0.017647331,-0.002493243,-0.001986608,0.006241707,-0.020771829,-0.014286054,-0.011818508,0.00328212,-0.000780245,0.003919076,0.005892113,0.035278181,-0.020268906,0.008321563,0.017413953,-0.000170104,0.002365398,0.004511889,-0.011505783,0.004186391,0.004974567,0.009094198,-0.009757685,-0.009773224,0.008760149,0.016681827,0.00657056,-0.018183101,-0.013684967,0.014641069,0.012627045,0.001198422,-0.00720277,-0.005078267,0.002818846,0.015990082,-0.005064899,-0.013956706,0.003951089,0.006986737,-0.002561802,-0.0021517,0.00286704,0.010406434,0.001799639,-0.005957263,0.004852353,0.014477434,-0.00751482,-0.006122872,-0.001610961,-0.003961837,0.008194223,-0.00244001,0.002043803,-0.009891958,-0.001843922,0.002783101,0.010683519,-0.003458561,0.000967371,0.000324155,-0.006191544,0.003179796,-0.000858815,-0.005775854,0.005446563,0.017169414,0.012842005,-0.008320914,-0.007766746,-0.002095092,0.001224828,0.009464778,-0.00468331,-0.006371847,1
-0.006917927,0.033872234,0.008461625,-0.011583204,0.002427311,-0.031899663,-0.007529122,-0.006228965,-0.010769934,0.000942014,0.048447055,-0.053665227,-0.012265133,0.00132605,0.002625859,-0.006524818,-0.009755961,-0.019899231,-0.017529192,0.006741192,-0.03992022,-0.015653578,-0.003240499,0.00637956,0.002144153,-0.00693157,0.022236753,0.033721192,0.014599964,-0.02884198,0.016026406,-0.006468816,-0.030146521,-0.012609105,0.005802536,-0.011843386,0.025961033,0.022264685,0.009065473,0.045106804,-0.018166159,-0.003396276,0.027291162,0.002190785,-0.025475376,0.003178464,-0.010725979,-0.021369069,-0.018849202,-0.016117888,0.028788905,-0.003946608,-0.032234051,-0.015782121,0.001719104,0.000830774,-0.001186818,0.012485021,0.00403331,0.047646412,0.001637266,0.012518012,-0.000308576,0.012981666,0.009087905,0.024671776,-0.011957459,-0.025025583,-0.017882034,0.00891487,0.009062244,0.013475733,0.025566443,-0.010901969,0.006754054,-0.008984496,0.029575895,0.012833288,-0.023604073,0.009965114,-0.035251914,-0.018054267,-0.007821176,-0.008466572,0.001160838,0.04227953,-0.061334239,-0.014075891,0.006750179,-0.007097564,0.036900845,0.009380421,-0.032702957,-0.017053065,-0.010323234,0.008751649,0.010498717,0.000752833,-0.006641657,-0.02870189,-0.010655511,-0.010705358,0.039415031,0.001999693,0.034263832,0.018933628,-0.032070413,0.014735605,-0.002144547,-0.005692636,-0.01693876,-0.033224775,0.035055625,0.030158715,-0.041825909,-0.022560205,0.024734692,0.001093536,0.006726914,-0.014988254,0.018373319,0.004130539,-0.003750139,-0.018350501,0.000597789,0.033665368,-0.006696722,0.023329669,0.020823807,0.006523467,-0.045119683,-0.02832976,-0.005196909,0.009529967,-0.032655706,-0.00926919,0.037656821,-0.014036265,0.007253596,0.004979293,-0.007227588,-0.002677941,-0.011001147,-0.005777662,-0.011805697,0.023930889,0.017849537,-0.006902103,0.02990369,0.016192122,1
0.008409581,0.03109518,0.026500942,-0.01324799,-0.015302338,-0.021643589,-0.010458367,0.025026807,0.001513142,0.007238392,-0.011846595,-0.024640443,0.03028253,0.023263831,-0.000243443,0.011219828,-0.010535129,-0.010075951,-0.006383603,0.041899113,0.040945967,0.022175732,-0.010025037,-0.012945009,-0.007583307,0.015841267,-0.007386893,-0.000315403,-0.003034466,-0.015749997,-0.022551367,-0.003724067,0.018142718,-0.001604735,-0.015533842,-0.022754842,-0.019581365,0.002533014,0.007935908,0.040097627,-0.000192219,-0.007303051,0.028440208,0.029241703,-0.002332586,-0.001304647,-0.035532738,-0.012217846,0.005703785,-0.054595305,0.003545405,0.011381047,-0.011025782,0.007243077,0.011358784,-0.046299587,-0.000233367,0.001917584,0.016247874,0.034159435,0.022281861,0.014945037,0.0077504,0.02595205,0.035626935,-0.019607266,-0.044001629,-0.026739785,-0.006945217,-0.108821865,-0.072483947,-0.013019006,0.024181787,0.005702477,-0.001091657,0.022129688,0.026057271,0.012737913,-0.02801758,0.020600558,-0.027962906,-0.014785413,0.001665535,-0.009038422,0.035099174,-0.040586143,-0.032540043,0.015095337,0.004777483,0.019541331,0.003283279,0.014909451,0.036911677,0.015448502,0.033191524,0.070716575,0.033403189,0.009786109,-0.002439803,0.014383233,0.057962731,0.014226523,-0.043175718,-0.028092638,0.009502561,-0.030596713,-0.014365894,-0.04016108,-0.036901521,-0.019095609,-0.03879591,-0.013928315,0.019784797,0.013994867,-0.031456865,0.011838667,0.052102326,-0.015667184,0.00035381,0.005203097,-0.006687506,0.018307877,-0.006262275,-0.035152898,0.026984754,-0.001627353,-0.061684462,-0.010062531,-0.019745886,0.042806783,-0.045093863,-0.028735824,-0.008018867,0.016410977,-0.030979939,0.02141888,0.036064533,0.014392068,-0.002399711,0.003726005,-0.02753123,0.024320341,0.00011338,-0.058594022,0.024360269,-0.001080646,-0.053409364,-0.001087203,-0.046686617,-0.024677191,1
-0.009701276,0.020127555,-0.001028353,0.001299078,0.013487652,-0.014015677,0.007832392,-0.001820291,0.004455214,0.011621207,0.037384238,0.00997072,0.010903396,-0.011279091,0.010315533,0.005293851,-0.020706713,-0.011513214,0.008285198,0.023509459,0.000302518,-0.021225546,-0.004953776,-0.009007909,-0.012796417,-0.019724796,0.012870111,-0.007058859,0.008009275,0.020289992,0.01592761,-0.01522543,0.006741984,-0.005878714,-0.000345178,-0.018453434,0.020627761,0.004051732,0.008334717,0.011014695,-0.001892978,-0.012897035,-0.009883083,-0.010841425,-0.009859004,0.00104295,-0.016424025,-0.007339034,0.012720585,0.008368582,0.010654893,-0.00810254,0.003629,-0.001713439,0.001835965,0.001243577,0.013507806,0.007345934,0.003547704,0.000236525,0.006214314,-0.014079699,-0.002421531,-0.003377221,-0.008366218,-0.017289826,0.005003631,0.000345413,0.008208736,-0.012015622,-0.003473099,-0.00567111,0.006773208,-0.002032194,-0.005187406,-0.008769464,0.004702669,0.011234163,0.014820713,0.037352263,-0.007424149,0.00400225,-0.014322115,-2.06E-05,-0.016888686,0.027357436,0.00945536,0.040201507,-0.003466786,-0.006027462,0.013329881,0.020837138,0.012791582,0.00882312,-0.029704109,0.008700059,-0.012183398,-0.026762575,0.013394255,0.006680837,-0.007565733,-0.025455275,-0.003535259,-0.006110231,-0.020854264,0.011787958,-0.018417717,-0.003465899,0.057132943,-0.03146015,-0.004016545,-0.040072097,0.002675299,-0.025938793,-0.001821718,0.003736349,0.002450561,-0.011628009,-0.023645775,0.001710001,0.007552461,0.028920028,-0.000172377,-0.000941944,-0.027798578,-0.000137986,-0.022475654,-0.014246686,-0.005107358,-0.02347212,-0.006017578,-0.020247123,0.008855841,-0.010207979,0.000764653,-0.00244081,-0.00705658,0.010525953,0.008284805,-0.009615735,-0.020832566,0.01144833,-0.00289273,0.031682617,0.001340047,-0.001363539,-0.012403599,-0.01367888,0.015086026,0.010771104,1
0.011186302,-0.003425868,0.013850975,0.005160801,-0.000300568,-0.024305035,-0.000138429,0.003416855,-0.005370585,0.011208153,-0.029237671,-0.006350296,-0.022319605,-0.013943105,0.001727418,-0.016519482,-0.01470972,0.003851024,0.001007561,0.034001007,0.010298528,-0.005811164,0.008054725,0.003516087,0.002311607,0.018859708,0.006425715,0.003822529,0.003662097,0.008266183,-0.006015005,0.013469083,0.022621517,0.017132686,0.007582466,-0.003178324,-0.011417772,-0.003967896,-0.001434834,-0.001392472,0.00520725,0.01112607,-0.01044914,-0.017625892,-0.001180025,-0.000170582,0.002658965,-0.009446469,0.002635531,-0.009064363,0.000348538,0.013234325,0.002208556,0.002995815,0.012265837,0.024293464,0.004689112,0.008224856,0.007706909,-0.006124156,-0.022476081,-0.019977243,-0.01533633,-0.001473232,-0.011407658,-0.012117648,-0.014068063,-0.010014174,0.00359313,-0.005625923,-0.00658724,0.013549462,-0.002854698,0.010347487,0.014340956,0.007392415,0.004324722,-0.003885755,0.002083945,-0.017123642,-0.021321115,-0.001307422,0.006003945,0.001711289,0.006660509,-0.024508309,-0.003347716,-0.019662114,-0.003720997,0.014707202,-0.017232974,0.009354434,-0.013865071,0.014251684,-0.020569836,0.002553772,0.003181154,0.001211135,-0.030345236,0.007337341,0.009868902,-0.011815502,0.017035571,-0.001191163,-0.002816642,-0.0081051,-0.000434342,-0.017338701,-0.009569262,0.007037969,0.007334561,0.005755312,-0.004319174,-0.016374374,0.007875107,-0.010180754,0.014079408,-0.007083388,0.00193181,0.017356967,0.007715903,-0.001428096,0.003824685,0.002028799,0.002715204,-0.00424116,-0.011796351,0.009054896,0.0126098,-0.023606842,0.021435366,-0.004095247,0.007769244,0.005786202,0.007430553,-0.012200382,-0.003830573,0.02098739,0.004185126,-0.000988793,-0.00483641,0.000343137,-0.002984139,-0.019409388,0.005070083,-0.001688492,0.015215535,0.010231379,0.02136936,0.008262783,1
-0.005724064,0.011586081,-0.016422275,-0.008732012,-0.007054033,-0.022704256,0.002051885,0.010156728,-0.020403785,0.006304583,0.015525378,0.001456641,-0.008464539,0.045924042,-0.011332704,0.012021419,0.015348926,0.013397303,-0.047370088,0.020358211,-0.035059029,0.026065767,0.0122657,-0.01968908,-0.034564596,-0.036708535,0.001548203,-0.011389086,-0.007869282,0.012065761,-0.000448254,0.03789944,-0.012714124,0.026434309,0.031448711,-0.015761693,0.001665991,-0.043288106,-0.00094148,-0.006947231,0.01038826,-0.000187967,-0.022725767,-0.002778592,-0.006338563,-0.018547444,-0.019296758,-0.008731384,-0.049533489,-0.022652934,-0.049084883,0.038235719,0.021520785,-0.031603423,-0.038094551,-0.040071232,0.023076819,0.015814769,-0.006077214,-0.029608591,0.008150178,0.00091672,0.024319044,-0.001313294,0.001407437,-0.011050089,0.024614518,0.063110297,-0.066862018,-0.010837346,0.007036668,-0.076948346,-0.021051549,0.034150013,-0.022752275,-0.009239124,0.017529878,-0.010182869,-0.009256567,-0.012685685,-0.030292041,0.006340825,0.005836196,0.003411919,0.006384625,-0.01420228,0.021653578,0.008556995,-0.012439337,-0.002912152,0.024658774,-0.008700291,-0.014664833,0.010053546,-0.00605355,-0.005365779,0.01531872,-0.00671582,0.011073659,0.012858172,-0.023533529,-0.012786309,-0.008215905,0.007221751,0.001286053,0.013101063,-3.08E-06,-0.009800019,0.014726046,0.008640871,0.0097864,0.000724868,-0.010826668,0.001437643,0.009624728,0.006332557,0.005254124,0.009920435,-0.002446667,-0.004237503,-0.00087542,0.016823837,-0.005097378,-0.020963039,0.000607029,0.012965236,-0.005788542,0.008904813,-0.006805003,-0.011593913,-0.029721984,-0.012042885,-0.011110703,0.014582003,0.022296424,0.007864169,-0.009609414,0.002399582,-0.004884397,0.012358765,-0.016244024,-0.006102222,-0.02618001,0.01440307,0.020691907,-0.002944657,-0.019655675,-0.005629874,-0.000161784,0.005855508,1
0.013785454,-0.047891389,-0.047485073,0.028971749,-0.002419025,-0.023248407,0.102074628,0.039455223,0.011816596,0.006493435,0.011308319,-0.037377712,-0.0251071,-0.052234317,0.000887707,0.008193236,0.007250948,-0.017868976,-0.008612246,0.056805182,0.001725329,0.013288742,-0.0063628,-0.025143644,0.014686295,0.00978346,0.016835764,-0.011533576,0.004286298,0.046599613,0.021857358,-0.001894,-0.017599622,-0.018709409,0.020664313,0.036782991,-0.009100888,-0.022568721,-0.004923899,-0.06545776,-0.026842743,-0.045643462,0.003340393,0.021129278,0.003132117,0.053795885,-0.015849916,-0.015861757,-0.015791337,-0.052732334,-0.049099225,-0.030724051,0.024869145,0.008366332,0.002390614,-0.024495962,0.006354543,0.005170017,0.003563014,0.059514918,-0.007687812,0.019911521,0.002091076,-0.007471805,-0.047388878,0.002066604,-0.00511027,-0.005746438,-0.032738832,0.039813161,0.046400283,-0.000924353,-0.042965922,0.002806198,-0.006076585,0.022309543,-0.035187207,-0.035761723,0.037973844,-0.018433144,0.010553417,0.11040211,0.02991145,-0.015205143,0.016882756,0.00177368,-0.056081711,-0.029914545,-0.051031971,0.015651755,0.001074083,-0.004045282,0.002147229,-0.007234178,-0.064325571,-0.007248815,0.020606143,0.003829544,0.022691021,0.023167478,-0.000185816,-0.027578597,-0.016263764,0.00326613,-0.042038529,-0.025129823,0.006874472,0.024939665,0.027332008,-0.02020508,0.051451552,0.035666656,0.000469448,-0.013265707,0.067276522,-0.025862944,-0.08035792,0.000686446,-0.015272707,0.024252714,0.102893,0.014769436,-0.045252014,-0.03664716,0.026858622,-0.051648706,-0.034334142,-0.033288162,-0.039189287,-0.009390587,-0.038430527,-0.031475524,0.010396945,0.004458854,-0.052691029,0.044875027,0.0237317,0.013039905,0.016971467,-3.15E-05,0.022092551,-0.014552096,-0.041251348,-0.025569914,-0.041639514,0.046836039,0.023667523,0.018630746,0.029687637,-0.000889969,1
0.018149344,0.00745604,0.001582539,-0.000360186,-0.008017921,0.003466243,0.000942771,0.007439005,-0.002161258,-0.007575176,-0.004063584,-0.002462097,-3.51E-05,0.00769944,-0.007630501,0.016435391,-0.010438999,0.012060988,-0.000394302,-0.016244098,0.005739983,0.017247455,-0.014124167,0.003041179,-0.000194554,0.017545147,-0.028528694,0.019864276,0.003056616,-0.018972057,-0.003568496,0.002411364,0.011324677,-0.011481396,0.008638725,0.001457651,-0.003344862,0.009672076,-0.006491128,-0.011657524,0.013095124,-0.021487713,-0.015685105,0.001124452,0.000130365,0.011373772,-0.010881976,0.000465237,-0.003936603,-0.009863734,-0.009797852,0.012616915,-0.000246861,0.010229324,-0.012372371,-0.021449292,0.002247189,-0.000238289,-0.014120021,-0.003170182,0.000457195,-0.01633497,-0.003562274,0.005288126,-0.003103852,-0.008420659,-0.00924512,-0.011328349,0.004265782,-0.003073887,-0.00507723,-0.01097553,-0.000911935,-0.012935651,0.02228342,0.028022626,-0.003514803,0.006534109,0.012975565,0.005558226,0.005207304,-0.004603464,0.006490878,0.003158362,0.003530096,-0.020253691,0.000515887,-0.001508378,-0.003989271,-0.000203656,0.001962917,0.022985915,0.016611074,-0.005903778,0.00237866,-9.70E-05,-0.005670713,0.005847054,-0.002839916,-0.005548355,-0.006466313,0.013747933,0.022016313,-0.027839343,9.40E-05,-0.003875753,-0.004466325,0.003949217,-0.007120925,-0.015280381,7.12E-05,0.016979078,-0.001600249,0.007685235,0.004404918,0.004885104,-0.005352592,-0.002069229,0.001285594,-0.005902959,0.001567253,0.001729949,-0.000346686,-0.009690362,-0.001282742,-0.009227602,-0.001672299,0.002969878,-0.005287687,-0.005629732,-0.011685251,-0.003624868,-0.02435791,0.006448804,-0.000320366,-0.002116761,-0.002812375,-0.007170292,0.00546703,0.000808024,-0.006180969,-0.003973865,-0.003334145,-0.005211481,-0.000122127,-0.002381817,0.002042582,-3.97E-07,-0.006137935,-0.003025396,1
0.034321845,0.007813258,0.000904641,-0.006721133,-0.012307785,0.00853229,-0.004754299,-0.028620209,-0.006060025,0.000341781,-0.022732995,-0.015067401,0.008101222,0.011249123,0.000178439,0.006419639,-0.017688693,0.011926812,0.006012799,0.008213371,0.007333188,0.020934599,-0.017766855,0.005665945,0.006496956,0.017787044,0.000127825,0.009438004,0.00984737,-0.01326107,-0.002609878,8.62E-05,0.027788753,-0.028253818,0.018297867,-0.01746686,-0.000450676,0.008221525,-0.005834662,0.000471708,0.02703741,-0.020858722,-0.003481006,0.002621016,-0.006515297,0.015155662,0.011865552,-0.008578601,3.97E-05,-0.011878783,-0.014379748,-0.000379429,-0.015044875,0.008792755,0.002104366,-0.035675204,0.012484614,-0.006181197,-0.014964067,-0.007094145,-0.008767582,-0.006046795,0.022148455,0.003580758,-0.008514279,0.005737768,0.016375867,-0.007457407,-0.001495742,-0.004976207,-0.01665506,-0.004709244,0.005822067,0.005795909,-0.004119464,0.045757091,-0.001890776,-0.00940384,0.008238518,-0.007128648,0.008762266,-0.002795009,-0.016742386,-0.009492468,-0.011426711,-0.033673329,0.004817895,0.012426529,-0.013724649,0.021174392,-0.010938827,0.020459262,0.025301493,-0.007903266,-0.016809945,-3.27E-05,-0.020514188,0.004851687,-0.032152483,0.004111586,-0.004007104,-0.005712099,0.028462228,-0.032792278,-0.008508025,0.005565958,-0.015179278,-0.006251538,0.002734815,-0.022912152,-0.022493314,0.01426715,0.003155172,0.01390893,-0.00226464,0.005586085,-0.002351863,0.009214996,-0.004786642,0.002728223,0.010183699,-0.017860568,-0.004957801,-0.018339926,0.000837717,-0.017267392,-0.00783819,0.004890251,-0.009036902,0.015972773,-0.020156137,0.00160326,-0.035009235,0.02854415,0.007943868,-0.010236686,0.014353698,-0.031827317,0.042113032,0.018376731,0.013806226,-0.011503776,-0.006958791,0.000896996,0.026110015,-0.010145437,0.02319366,0.016780119,-0.019847718,-0.014565094,1
-0.018503292,0.012084748,-0.005328483,-0.004492068,0.001089927,-0.004956782,0.005321185,-0.023746259,-0.010636601,-0.00781444,-0.018327691,0.00843383,0.017238425,0.004765831,-0.022350037,0.005957898,0.016084305,-0.004549566,0.006154784,-0.023776222,0.003340456,-0.006347489,0.003975316,-0.039312825,0.00334215,-0.020145859,-0.025006655,-0.000611619,-0.010614347,0.006420542,0.005273374,0.006478617,-0.007994116,-0.000594465,-0.000453064,0.004767248,-0.016361694,0.010689117,-0.033612798,-0.005134003,-0.001191902,0.016600022,0.00033387,-0.013852351,0.004909449,0.013478009,-0.002217521,-0.004098202,-0.008237155,-0.009635661,-0.0087608,0.02627511,-0.020178262,0.014514754,0.016471751,0.005567611,0.00230274,0.005372539,0.017816238,0.008704453,-0.003820338,0.017237112,-0.006607168,0.021270563,0.01051448,0.006558977,0.010538837,0.022415378,-0.036570205,-0.017952721,-0.001644848,0.010138895,0.027517436,-0.019268795,0.01016099,-0.022163679,0.007437997,-0.003723233,-0.004335456,0.009340694,-0.004759125,0.010367195,0.003157778,-0.009842046,0.00674294,-0.009021255,0.008630164,0.012877932,0.005103599,0.00682723,0.012168331,0.004759422,0.018060954,0.012905478,0.012051833,-0.007033589,0.006577742,-0.011782204,0.000637303,-0.003877816,-0.000831377,0.031610411,-0.02930129,-0.000446133,0.000393121,0.002379907,0.007246169,0.020859234,0.005726525,-0.000869179,-0.002666194,0.007628381,-0.007200835,-0.005823982,0.007711357,-0.003801121,0.010427785,0.010363458,0.017930084,-0.00754247,0.0058749,-0.001877987,0.010150914,-0.00034423,0.016625022,-0.005647141,0.007484762,-0.000904541,0.011602253,-0.004303674,0.008701602,0.004089726,0.004645867,0.003413664,0.006841708,-0.002144175,0.012576014,-0.007719676,0.012105665,-0.00533126,0.001306452,-0.001953386,0.004681877,0.002088951,0.011178743,-0.0050117,0.004448278,-0.004721134,0.003545543,0.000211845,1
