QSO 1,QSO 2,QSO 3,QSO 4,QSO 5,QSO 6,QSO 7,QSO 8,QSO 9,QSO 10,QSO 11,QSO 12,QSO 13,QSO 14,QSO 15,QSO 16,QSO 17,QSO 18,QSO 19,QSO 20,QSO 21,QSO 22,QSO 23,QSO 24,QSO 25,QSO 26,QSO 27,QSO 28,QSO 29,QSO 30,QSO 31,QSO 32,QSO 33,QSO 34,QSO 35,QSO 36,QSO 37,QSO 38,QSO 39,QSO 40,QSO 41,QSO 42,QSO 43,QSO 44,QSO 45,QSO 46,PseAAC 1,PseAAC 2,PseAAC 3,PseAAC 4,PseAAC 5,PseAAC 6,PseAAC 7,PseAAC 8,PseAAC 9,PseAAC 10,PseAAC 11,PseAAC 12,PseAAC 13,PseAAC 14,PseAAC 15,PseAAC 16,PseAAC 17,PseAAC 18,PseAAC 19,PseAAC 20,PseAAC 21,PseAAC 22,PseAAC 23,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_HX,PCP_SC,Class
0.58938244,0,0.58938244,0,0,0.58938244,0,0.58938244,0,0.58938244,0,0,0.58938244,1.178764881,0,0.58938244,0,0,0,0,3.53E-05,0,3.53E-05,0,0,3.53E-05,0,3.53E-05,0,3.53E-05,0,0,3.53E-05,7.05E-05,0,3.53E-05,0,0,0,0,0.15752896,0.124692224,0.128396375,0.325720692,0.26834032,0.405903734,0.79422338,0,0.79422338,0,0,0.79422338,0,0.79422338,0,0.79422338,0,0,0.79422338,1.588446761,0,0.79422338,0,0,0,0,0.069432394,0.055739993,0.080604232,0,0.111,0.889,0.111,0.667,0.333,0,0.222,0.111,0,0.889,0.556,0.111,0.111,0.111,1
0.32893578,0.32893578,0.32893578,0,0,0.98680734,0,0,0,0.32893578,0.98680734,0.65787156,0.65787156,0.65787156,0.32893578,0,0.65787156,0,0.65787156,0.98680734,2.20E-05,2.20E-05,2.20E-05,0,0,6.59E-05,0,0,0,2.20E-05,6.59E-05,4.40E-05,4.40E-05,4.40E-05,2.20E-05,0,4.40E-05,0,4.40E-05,6.59E-05,0.24710715,0.246773214,0.177183856,0.384532357,0.360467621,0.254978039,0.804882006,0.804882006,0.804882006,0,0,2.414646017,0,0,0,0.804882006,2.414646017,1.609764011,1.609764011,1.609764011,0.804882006,0,1.609764011,0,1.609764011,2.414646017,0.07144242,0.066287081,0.057388493,0.125,0.125,0.75,0.167,0.542,0.375,0.042,0.167,0.125,0.125,0.75,0.625,0.208,0.083,0.083,1
1.501692031,0,0,0,0,0,0,0.750846016,0,0,3.754230079,0,0,0,0.750846016,0,0,0.750846016,0,0,0.000117436,0,0,0,0,0,0,5.87E-05,0,0,0.000293591,0,0,0,5.87E-05,0,0,5.87E-05,0,0,0.119286381,0.114254136,0.015613467,0.493496961,0.459176184,0.047268137,1.722131139,0,0,0,0,0,0,0.86106557,0,0,4.305327848,0,0,0,0.86106557,0,0,0.86106557,0,0,0.065405625,0.056897696,0.01663111,0,0,1,0,1,0.9,0.1,0.1,0,0,1,0.9,0.1,0,0,1
0.586664689,0,0,0,0,0,0.586664689,0,1.173329378,0.586664689,0,0,0,0.586664689,0.586664689,0,0.586664689,0,0,0.586664689,6.90E-05,0,0,0,0,0,6.90E-05,0,0.00013801,6.90E-05,0,0,0,6.90E-05,6.90E-05,0,6.90E-05,0,0,6.90E-05,0.165510487,0.171194564,0.076630259,0.311426541,0.404693721,0.283810733,0.851793074,0,0,0,0,0,0.851793074,0,1.703586148,0.851793074,0,0,0,0.851793074,0.851793074,0,0.851793074,0,0,0.851793074,0.037641905,0.061120019,0.049445002,0.222,0,0.778,0.222,0.556,0.444,0.111,0.111,0,0.222,0.778,0.667,0.333,0.111,0,1
0,0.555542408,0,0,0,0.555542408,0,0,0.555542408,0,1.111084815,0,0,0,0,1.111084815,0.555542408,0,0,0.555542408,0,6.42E-05,0,0,0,6.42E-05,0,0,6.42E-05,0,0.000128401,0,0,0,0,0.000128401,6.42E-05,0,0,6.42E-05,0.150046004,0.163574184,0.130837404,0.359824604,0.311873243,0.328237953,0,0.79024232,0,0,0,0.79024232,0,0,0.79024232,0,1.58048464,0,0,0,0,1.58048464,0.79024232,0,0,0.79024232,0.074281255,0.065881109,0.069595316,0.222,0.111,0.667,0.333,0.333,0.333,0,0,0.111,0.222,0.667,0.444,0.222,0.333,0,1
0,0,0.569238013,0,0,1.138476027,0,0,0.569238013,0.284619007,1.423095034,1.423095034,0,0.284619007,0,0.569238013,0,0,0,0,0,0,3.23E-05,0,0,6.47E-05,0,0,3.23E-05,1.62E-05,8.08E-05,8.08E-05,0,1.62E-05,0,3.23E-05,0,0,0,0,0.276261739,0.260464416,0.178654838,0.323521616,0.407371072,0.26909115,0,0,1.567715396,0,0,3.135430792,0,0,1.567715396,0.783857698,3.91928849,3.91928849,0,0.783857698,0,1.567715396,0,0,0,0,0.076698032,0.074134143,0.065310127,0.318,0.182,0.5,0.091,0.318,0.273,0,0.045,0.182,0.318,0.5,0.318,0.409,0.091,0,1
0.710131798,0.710131798,0,0.355065899,0,0.355065899,0.710131798,0.355065899,0,0.355065899,0.710131798,0.355065899,0,0,0,0,0.355065899,0,0,0.710131798,5.29E-05,5.29E-05,0,2.64E-05,0,2.64E-05,5.29E-05,2.64E-05,0,2.64E-05,5.29E-05,2.64E-05,0,0,0,0,2.64E-05,0,0,5.29E-05,0.238278653,0.228577436,0.178078011,0.380795682,0.322900973,0.296276913,1.450510909,1.450510909,0,0.725255454,0,0.725255454,1.450510909,0.725255454,0,0.725255454,1.450510909,0.725255454,0,0,0,0,0.725255454,0,0,1.450510909,0.083187791,0.099373092,0.092183662,0.188,0.125,0.688,0.188,0.5,0.5,0,0,0.125,0.188,0.688,0.5,0.188,0.062,0,1
0.426556031,0.426556031,0,0.853112061,0.426556031,0.426556031,0.426556031,0.426556031,0,0,0.853112061,0,0.426556031,0.426556031,0.426556031,0,0.426556031,0,0,0.426556031,2.49E-05,2.49E-05,0,4.98E-05,2.49E-05,2.49E-05,2.49E-05,2.49E-05,0,0,4.98E-05,0,2.49E-05,2.49E-05,2.49E-05,0,2.49E-05,0,0,2.49E-05,0.207013997,0.196491543,0.16993843,0.318694798,0.390976041,0.290304282,0.773631517,0.773631517,0,1.547263033,0.773631517,0.773631517,0.773631517,0.773631517,0,0,1.547263033,0,0.773631517,0.773631517,0.773631517,0,0.773631517,0,0,0.773631517,0.069512983,0.081725194,0.075130307,0.067,0.2,0.733,0.2,0.533,0.4,0.067,0.067,0.2,0.067,0.733,0.6,0.133,0.067,0.133,1
1.860754442,0,0,0,0.46518861,0,0,0,0,0.46518861,0.46518861,0.930377221,0,0,0,0.930377221,0,0.46518861,0.930377221,0,8.39E-05,0,0,0,2.10E-05,0,0,0,0,2.10E-05,2.10E-05,4.20E-05,0,0,0,4.20E-05,0,2.10E-05,4.20E-05,0,0.21827245,0.123373741,0.193165198,0.366236497,0.32082841,0.312914105,3.025589743,0,0,0,0.756397436,0,0,0,0,0.756397436,0.756397436,1.512794871,0,0,0,1.512794871,0,0.756397436,1.512794871,0,0.103594977,0.057085129,0.082922459,0.143,0,0.857,0.357,0.5,0.429,0,0.214,0,0.143,0.857,0.571,0.143,0.143,0.071,1
0.384008887,0,0.384008887,0.768017774,0.384008887,0,0,0,0.384008887,0.768017774,0,0.384008887,0,0,0.768017774,0.384008887,0.384008887,0.768017774,0,0,1.67E-05,0,1.67E-05,3.35E-05,1.67E-05,0,0,0,1.67E-05,3.35E-05,0,1.67E-05,0,0,3.35E-05,1.67E-05,1.67E-05,3.35E-05,0,0,0.224623042,0.183427643,0.207940428,0.36851123,0.311137723,0.320334299,0.758202986,0,0.758202986,1.516405972,0.758202986,0,0,0,0.758202986,1.516405972,0,0.758202986,0,0,1.516405972,0.758202986,0.758202986,1.516405972,0,0,0.084126167,0.072909906,0.084760941,0.133,0.133,0.733,0.2,0.467,0.333,0.133,0.133,0.133,0.133,0.733,0.6,0.333,0.133,0.067,1
0.872123839,0.43606192,0,0,0,0.43606192,0.872123839,1.308185759,0,0,1.744247678,0.43606192,0,0,0.43606192,0.872123839,0,0,0,0,4.81E-05,2.40E-05,0,0,0,2.40E-05,4.81E-05,7.21E-05,0,0,9.61E-05,2.40E-05,0,0,2.40E-05,4.81E-05,0,0,0,0,0.157000082,0.206675951,0.200262047,0.353331539,0.31349296,0.333151466,1.637602488,0.818801244,0,0,0,0.818801244,1.637602488,2.456403732,0,0,3.275204976,0.818801244,0,0,0.818801244,1.637602488,0,0,0,0,0.047192674,0.05620811,0.077797972,0.118,0.059,0.824,0.235,0.588,0.588,0.059,0,0.059,0.118,0.824,0.412,0.176,0.118,0,1
