QSO 1,QSO 2,QSO 3,QSO 4,QSO 5,QSO 6,QSO 7,QSO 8,QSO 9,QSO 10,QSO 11,QSO 12,QSO 13,QSO 14,QSO 15,QSO 16,QSO 17,QSO 18,QSO 19,QSO 20,QSO 21,QSO 22,QSO 23,QSO 24,QSO 25,QSO 26,QSO 27,QSO 28,QSO 29,QSO 30,QSO 31,QSO 32,QSO 33,QSO 34,QSO 35,QSO 36,QSO 37,QSO 38,QSO 39,QSO 40,QSO 41,QSO 42,QSO 43,QSO 44,QSO 45,QSO 46,PseAAC 1,PseAAC 2,PseAAC 3,PseAAC 4,PseAAC 5,PseAAC 6,PseAAC 7,PseAAC 8,PseAAC 9,PseAAC 10,PseAAC 11,PseAAC 12,PseAAC 13,PseAAC 14,PseAAC 15,PseAAC 16,PseAAC 17,PseAAC 18,PseAAC 19,PseAAC 20,PseAAC 21,PseAAC 22,PseAAC 23,PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_HX,PCP_SC,Class
0.355962219,0.355962219,0,0,0,0.711924439,0,0.355962219,0,0.355962219,0,1.067886658,0.711924439,0.711924439,0.355962219,0,0,0,0,0.355962219,3.20E-05,3.20E-05,0,0,0,6.39E-05,0,3.20E-05,0,3.20E-05,0,9.59E-05,6.39E-05,6.39E-05,3.20E-05,0,0,0,0,3.20E-05,0.24619714,0.169617564,0.228223077,0.381005654,0.320510403,0.298451979,0.713819728,0.713819728,0,0,0,1.427639456,0,0.713819728,0,0.713819728,0,2.141459184,1.427639456,1.427639456,0.713819728,0,0,0,0,0.713819728,0.105940979,0.085524693,0.0947146,0.267,0.133,0.6,0,0.6,0.333,0.067,0.133,0.133,0.267,0.6,0.533,0.333,0,0.133,1
0.585504604,0,0,0.585504604,0,0,0.585504604,0,0,0.585504604,0,0,0.585504604,0.585504604,0,0,0.585504604,0.585504604,0,0.585504604,4.18E-05,0,0,4.18E-05,0,0,4.18E-05,0,0,4.18E-05,0,0,4.18E-05,4.18E-05,0,0,4.18E-05,4.18E-05,0,4.18E-05,0.14612374,0.16313786,0.105233796,0.389211244,0.435927127,0.174819825,0.75055794,0,0,0.75055794,0,0,0.75055794,0,0,0.75055794,0,0,0.75055794,0.75055794,0,0,0.75055794,0.75055794,0,0.75055794,0.070281096,0.104971599,0.074189366,0,0.111,0.889,0.222,0.667,0.333,0,0.222,0.111,0,0.889,0.778,0,0.111,0.111,1
0.738178387,0,0,0,0,0,0,0.738178387,0,0,0,0,0,0,0,0,0.738178387,0.738178387,0.738178387,0.738178387,7.42E-05,0,0,0,0,0,0,7.42E-05,0,0,0,0,0,0,0,0,7.42E-05,7.42E-05,7.42E-05,7.42E-05,0.066461522,0.109057441,0.08630265,0.214647683,0.427106597,0.358171525,0.730808259,0,0,0,0,0,0,0.730808259,0,0,0,0,0,0,0,0,0.730808259,0.730808259,0.730808259,0.730808259,0.040675643,0.096019976,0.132496122,0,0,1,0.333,0.667,0.5,0,0.333,0,0,1,0.667,0,0.167,0,1
0,0,0,0,2.235192631,0,1.490128421,0,0,0.74506421,1.490128421,0,0,0,0,1.490128421,0.74506421,0,0.74506421,0,0,0,0,0,6.56E-05,0,4.37E-05,0,0,2.19E-05,4.37E-05,0,0,0,0,4.37E-05,2.19E-05,0,2.19E-05,0,0.100380638,0.103889593,0.050665558,0.363273671,0.378608753,0.258095703,0,0,0,0,2.697804738,0,1.798536492,0,0,0.899268246,1.798536492,0,0,0,0,1.798536492,0.899268246,0,0.899268246,0,0.036695487,0.045332711,0.018703556,0,0,1,0.75,0.25,0.25,0,0.083,0,0,1,0.583,0,0.25,0.25,1
1.399051574,0,0.466350525,0,0.466350525,0,0.466350525,0.466350525,0.932701049,0,0.932701049,0,0,0.466350525,0.466350525,0.466350525,0,0,0,0.932701049,6.07E-05,0,2.02E-05,0,2.02E-05,0,2.02E-05,2.02E-05,4.05E-05,0,4.05E-05,0,0,2.02E-05,2.02E-05,2.02E-05,0,0,0,4.05E-05,0.155288895,0.200089605,0.178270976,0.268232318,0.341426692,0.390320753,2.567161432,0,0.855720477,0,0.855720477,0,0.855720477,0.855720477,1.711440955,0,1.711440955,0,0,0.855720477,0.855720477,0.855720477,0,0,0,1.711440955,0.030834969,0.054179302,0.059265252,0.125,0,0.875,0.188,0.625,0.562,0.062,0.062,0,0.125,0.875,0.625,0.25,0.062,0.062,1
0.74139531,0,0,0,0,0,0,0,0,0.74139531,0,0.74139531,0,0.74139531,0.74139531,0,0,0,0,0.74139531,0.000114318,0,0,0,0,0,0,0,0,0.000114318,0,0.000114318,0,0.000114318,0.000114318,0,0,0,0,0.000114318,0.082103599,0.096668014,0.079833076,0.305847385,0.407407831,0.286630466,0.774474541,0,0,0,0,0,0,0,0,0.774474541,0,0.774474541,0,0.774474541,0.774474541,0,0,0,0,0.774474541,0.063902565,0.084677411,0.076945483,0.167,0,0.833,0,0.833,0.667,0.167,0.167,0,0.167,0.833,0.833,0.333,0,0,1
0,0,0,0.537273165,0,0,0,0,0.537273165,0,0.537273165,0.537273165,0,0,0,0,0,1.074546329,0.537273165,0.537273165,0,0,0,6.19E-05,0,0,0,0,6.19E-05,0,6.19E-05,6.19E-05,0,0,0,0,0,0.000123748,6.19E-05,6.19E-05,0.162937489,0.173279783,0.126509563,0.312945879,0.362308887,0.32468336,0,0,0,0.679595292,0,0,0,0,0.679595292,0,0.679595292,0.679595292,0,0,0,0,0,1.359190583,0.679595292,0.679595292,0.113055585,0.085621719,0.121727404,0.25,0.125,0.625,0.125,0.5,0.25,0,0.375,0.125,0.25,0.625,0.5,0.25,0,0,1
0.341800553,1.02540166,0,0.341800553,0,1.02540166,0,0.341800553,0,0,0.341800553,0.341800553,0,0.683601107,0.341800553,0,0.683601107,0,0.341800553,0,2.60E-05,7.80E-05,0,2.60E-05,0,7.80E-05,0,2.60E-05,0,0,2.60E-05,2.60E-05,0,5.20E-05,2.60E-05,0,5.20E-05,0,2.60E-05,0,0.213193652,0.227739419,0.217266376,0.342081851,0.336205282,0.321686854,0.718267012,2.154801036,0,0.718267012,0,2.154801036,0,0.718267012,0,0,0.718267012,0.718267012,0,1.436534024,0.718267012,0,1.436534024,0,0.718267012,0,0.078220615,0.098307346,0.105205027,0.235,0.235,0.529,0.176,0.353,0.235,0.059,0.176,0.235,0.235,0.529,0.412,0.294,0.118,0,1
0,0.402376209,0,0,0.402376209,0.402376209,0,0.804752417,0,0,0.804752417,0.402376209,0,0.804752417,0.402376209,0,0.402376209,0,0.804752417,0.402376209,0,2.02E-05,0,0,2.02E-05,2.02E-05,0,4.04E-05,0,0,4.04E-05,2.02E-05,0,4.04E-05,2.02E-05,0,2.02E-05,0,4.04E-05,2.02E-05,0.139472205,0.21878474,0.239366847,0.279509268,0.344211311,0.376259212,0,0.730766363,0,0,0.730766363,0.730766363,0,1.461532727,0,0,1.461532727,0.730766363,0,1.461532727,0.730766363,0,0.730766363,0,1.461532727,0.730766363,0.062728461,0.095659138,0.110846037,0.133,0.067,0.8,0.267,0.533,0.4,0.067,0.267,0.067,0.133,0.8,0.533,0.2,0.067,0.067,1
0.581692655,0,0,0,0,0.581692655,0.581692655,0.581692655,0,0,2.326770619,0,0,0,0.581692655,1.163385309,0,0,0,0,3.45E-05,0,0,0,0,3.45E-05,3.45E-05,3.45E-05,0,0,0.000137854,0,0,0,3.45E-05,6.89E-05,0,0,0,0,0.14824385,0.142856212,0.127207284,0.414992315,0.288332035,0.296641187,0.831285204,0,0,0,0,0.831285204,0.831285204,0.831285204,0,0,3.325140815,0,0,0,0.831285204,1.662570407,0,0,0,0,0.060073505,0.051927853,0.056713438,0,0.091,0.909,0.273,0.636,0.636,0.091,0,0.091,0,0.909,0.545,0.091,0.182,0,1
